PREFIXO: ;E3-003
NOME DO POSTO: ;AGUA BRANCA
MUNICÍPIO: ;SAO PAULO
CURSO D'ÁGUA: ;TIETE,R
LATITUDE: ;23°30'57"
LONGITUDE: ;46°40'51"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  07/1943;  0,0;  0,0;  0,0;  0,0; 10,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;10,7;10,9
  08/1943;  0,0;  0,0;  1,2;  0,0;  0,1;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,0;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,4; 22,1;  2,3;  0,0;  0,0;  0,0;0,0;0,0;0,0;22,1;33,0
  09/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,5;  1,8;  2,4; 10,3; 10,8;  0,3;  0,0;  0,1;  0,5;  0,0;  0,0; 21,5;  7,4; 27,8;  0,6;  0,0;  0,0;  0,1;0,0;0,0;---;27,8;89,1
  10/1943;  0,0;  0,0;  7,9; 17,4; 11,9;  0,0;  0,0;  0,0;  0,9; 12,3;  7,7;  4,7; 31,9;  7,4;  1,9;  0,5;  0,0;  0,0;  0,0;  0,0;  0,0; 15,2;  8,2;  5,4;  0,0;  0,0; 34,9; 41,9;1,4;0,0;0,0;41,9;211,5
  11/1943;  2,5;  2,2; 15,8;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,5;  1,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 43,8;  1,0;  0,0;  0,0;  0,0; 12,7; 10,1;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;43,8;102,7
  12/1943; 11,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,2;  0,0; 10,0;  0,0;  0,0;  2,1;  0,0;  0,0;  0,0;  4,9; 18,8; 11,0;  6,0;  1,4;  9,9;  0,0;  0,0;13,0;20,5;3,2;20,5;114,9
  01/1944;  1,8;  0,0;  0,0;  4,6;  7,0;  0,0;  0,0;  0,0; 13,0;  0,0;  0,0; 26,5; 20,8;  0,0; 20,0;  0,0;  2,4;  0,9;  0,4;  0,0;  0,0;  0,0; 12,0;  1,7;  7,9;  0,0;  0,0;  0,0;0,0;1,0;1,9;26,5;121,9
  02/1944; 11,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,9;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0; 48,4;  0,7; 27,4; 18,2; 57,8;  5,0;  3,8;  5,8;  9,9; 59,1;  1,0;  0,1; 44,7;  0,0;0,0;---;---;59,1;297,8
  03/1944;  0,0;  0,6; 20,5;  4,3;  3,2; 30,2;  0,0;  0,0;  6,7;  0,0; 27,6;  0,0; 24,9; 23,0;  0,1;  0,0;  0,1; 11,4; 38,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 17,6;0,4;0,0;0,0;38,9;209,5
  04/1944;  1,2; 11,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 17,1;  0,0;  0,0;  0,0;  0,0;  0,0;  1,5;  0,0;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;17,1;31,5
